Name	Length	EffectiveLength	TPM	NumReads
jgi|Aspni_NRRL3_1|1|NRRL3_00001	3804	3599.459	3.269828	303.000
jgi|Aspni_NRRL3_1|2|NRRL3_00002	642	452.588	0.085826	1.000
jgi|Aspni_NRRL3_1|3|NRRL3_00003	1533	1336.000	0.000000	0.000
jgi|Aspni_NRRL3_1|4|NRRL3_00004	3444	3281.596	1.396743	118.000
jgi|Aspni_NRRL3_1|5|NRRL3_00005	786	589.000	0.000000	0.000
jgi|Aspni_NRRL3_1|6|NRRL3_00006	966	780.592	0.049762	1.000
jgi|Aspni_NRRL3_1|7|NRRL3_00007	846	649.520	0.059804	1.000
jgi|Aspni_NRRL3_1|8|NRRL3_00008	873	678.155	0.400948	7.000
jgi|Aspni_NRRL3_1|9|NRRL3_00009	1701	1504.000	0.000000	0.000
jgi|Aspni_NRRL3_1|10|NRRL3_00010	1476	1279.000	0.000000	0.000
jgi|Aspni_NRRL3_1|11|NRRL3_00011	864	671.262	27.370857	473.000
jgi|Aspni_NRRL3_1|12|NRRL3_00012	597	401.461	16.835465	174.000
jgi|Aspni_NRRL3_1|13|NRRL3_00013	1200	1016.375	128.755742	3369.000
jgi|Aspni_NRRL3_1|14|NRRL3_00014	651	455.119	0.170696	2.000
jgi|Aspni_NRRL3_1|15|NRRL3_00015	762	560.369	4.436346	64.000
jgi|Aspni_NRRL3_1|16|NRRL3_00016	2244	2046.838	117.033438	6167.000
jgi|Aspni_NRRL3_1|17|NRRL3_00017	315	141.000	0.000000	0.000
jgi|Aspni_NRRL3_1|18|NRRL3_00018	1506	1327.753	0.175531	6.000
jgi|Aspni_NRRL3_1|19|NRRL3_00019	909	726.402	0.053474	1.000
jgi|Aspni_NRRL3_1|20|NRRL3_00020	207	62.000	0.000000	0.000
jgi|Aspni_NRRL3_1|21|NRRL3_00021	675	478.882	0.973357	12.000
jgi|Aspni_NRRL3_1|22|NRRL3_00022	1734	1549.044	1.253793	50.000
jgi|Aspni_NRRL3_1|23|NRRL3_00023	372	189.000	0.000000	0.000
jgi|Aspni_NRRL3_1|24|NRRL3_00024	4176	4021.678	1.120392	116.000
jgi|Aspni_NRRL3_1|25|NRRL3_00025	1389	1200.975	1.423109	44.000
jgi|Aspni_NRRL3_1|26|NRRL3_00026	1629	1429.106	0.788230	29.000
jgi|Aspni_NRRL3_1|27|NRRL3_00027	723	503.621	26.223734	340.000
jgi|Aspni_NRRL3_1|28|NRRL3_00028	2157	1942.768	0.179946	9.000
jgi|Aspni_NRRL3_1|29|NRRL3_00029	1041	844.000	0.000000	0.000
jgi|Aspni_NRRL3_1|30|NRRL3_00030	3354	3148.207	2.270252	184.000
jgi|Aspni_NRRL3_1|31|NRRL3_00031	1221	1028.833	1.359181	36.000
jgi|Aspni_NRRL3_1|32|NRRL3_00032	969	782.090	7.797628	157.000
jgi|Aspni_NRRL3_1|33|NRRL3_00033	927	711.579	17.413538	319.000
jgi|Aspni_NRRL3_1|34|NRRL3_00034	1656	1431.646	9.686173	357.000
jgi|Aspni_NRRL3_1|35|NRRL3_00035	558	361.440	3.439006	32.000
jgi|Aspni_NRRL3_1|36|NRRL3_00036	4644	4384.017	0.008860	1.000
jgi|Aspni_NRRL3_1|37|NRRL3_00037	1311	1082.666	0.071755	2.000
jgi|Aspni_NRRL3_1|38|NRRL3_00038	627	431.000	0.000000	0.000
jgi|Aspni_NRRL3_1|39|NRRL3_00039	2016	1809.394	0.021468	1.000
jgi|Aspni_NRRL3_1|40|NRRL3_00040	1530	1333.000	0.000000	0.000
jgi|Aspni_NRRL3_1|41|NRRL3_00041	669	456.129	2.895417	34.000
jgi|Aspni_NRRL3_1|42|NRRL3_00042	2397	2122.741	12.845756	702.000
jgi|Aspni_NRRL3_1|43|NRRL3_00043	1215	994.364	0.195319	5.000
jgi|Aspni_NRRL3_1|44|NRRL3_00044	942	740.272	2.413715	46.000
jgi|Aspni_NRRL3_1|45|NRRL3_00045	288	120.000	0.000000	0.000
