Name	Length	EffectiveLength	TPM	NumReads
jgi|Aspni_NRRL3_1|1|NRRL3_00001	3804	3550.932	4.471590	453.000
jgi|Aspni_NRRL3_1|2|NRRL3_00002	642	437.745	0.080073	1.000
jgi|Aspni_NRRL3_1|3|NRRL3_00003	1533	1324.000	0.000000	0.000
jgi|Aspni_NRRL3_1|4|NRRL3_00004	3444	3266.292	1.051665	98.000
jgi|Aspni_NRRL3_1|5|NRRL3_00005	786	577.000	0.000000	0.000
jgi|Aspni_NRRL3_1|6|NRRL3_00006	966	757.000	0.000000	0.000
jgi|Aspni_NRRL3_1|7|NRRL3_00007	846	635.281	0.220699	4.000
jgi|Aspni_NRRL3_1|8|NRRL3_00008	873	667.057	0.157639	3.000
jgi|Aspni_NRRL3_1|9|NRRL3_00009	1701	1492.000	0.000000	0.000
jgi|Aspni_NRRL3_1|10|NRRL3_00010	1476	1267.000	0.000000	0.000
jgi|Aspni_NRRL3_1|11|NRRL3_00011	864	659.501	25.936445	488.000
jgi|Aspni_NRRL3_1|12|NRRL3_00012	597	388.126	21.042112	233.000
jgi|Aspni_NRRL3_1|13|NRRL3_00013	1200	998.282	117.168044	3337.000
jgi|Aspni_NRRL3_1|14|NRRL3_00014	651	444.244	0.078901	1.000
jgi|Aspni_NRRL3_1|15|NRRL3_00015	762	549.323	3.573274	56.000
jgi|Aspni_NRRL3_1|16|NRRL3_00016	2244	2037.461	123.039446	7152.000
jgi|Aspni_NRRL3_1|17|NRRL3_00017	315	137.000	0.511700	2.000
jgi|Aspni_NRRL3_1|18|NRRL3_00018	1506	1312.989	0.106784	4.000
jgi|Aspni_NRRL3_1|19|NRRL3_00019	909	700.000	0.000000	0.000
jgi|Aspni_NRRL3_1|20|NRRL3_00020	207	62.000	0.000000	0.000
jgi|Aspni_NRRL3_1|21|NRRL3_00021	675	466.476	0.826550	11.000
jgi|Aspni_NRRL3_1|22|NRRL3_00022	1734	1538.659	1.275710	56.000
jgi|Aspni_NRRL3_1|23|NRRL3_00023	372	183.000	0.574614	3.000
jgi|Aspni_NRRL3_1|24|NRRL3_00024	4176	4003.043	1.392237	159.000
jgi|Aspni_NRRL3_1|25|NRRL3_00025	1389	1187.199	1.800995	61.000
jgi|Aspni_NRRL3_1|26|NRRL3_00026	1629	1418.898	2.149187	87.000
jgi|Aspni_NRRL3_1|27|NRRL3_00027	723	490.513	29.441052	412.000
jgi|Aspni_NRRL3_1|28|NRRL3_00028	2157	1932.338	0.199534	11.000
jgi|Aspni_NRRL3_1|29|NRRL3_00029	1041	832.000	0.000000	0.000
jgi|Aspni_NRRL3_1|30|NRRL3_00030	3354	3146.342	1.470531	132.000
jgi|Aspni_NRRL3_1|31|NRRL3_00031	1221	1017.867	1.721810	50.000
jgi|Aspni_NRRL3_1|32|NRRL3_00032	969	766.846	7.679051	168.000
jgi|Aspni_NRRL3_1|33|NRRL3_00033	927	699.842	18.180790	363.000
jgi|Aspni_NRRL3_1|34|NRRL3_00034	1656	1419.147	10.916945	442.000
jgi|Aspni_NRRL3_1|35|NRRL3_00035	558	352.050	4.878633	49.000
jgi|Aspni_NRRL3_1|36|NRRL3_00036	4644	4369.821	0.008021	1.000
jgi|Aspni_NRRL3_1|37|NRRL3_00037	1311	1068.955	0.032790	1.000
jgi|Aspni_NRRL3_1|38|NRRL3_00038	627	419.000	0.000000	0.000
jgi|Aspni_NRRL3_1|39|NRRL3_00039	2016	1807.000	0.000000	0.000
jgi|Aspni_NRRL3_1|40|NRRL3_00040	1530	1281.797	0.027346	1.000
jgi|Aspni_NRRL3_1|41|NRRL3_00041	669	442.742	3.641775	46.000
jgi|Aspni_NRRL3_1|42|NRRL3_00042	2397	2105.865	13.765157	827.000
jgi|Aspni_NRRL3_1|43|NRRL3_00043	1215	983.450	0.320772	9.000
jgi|Aspni_NRRL3_1|44|NRRL3_00044	942	732.453	1.818487	38.000
jgi|Aspni_NRRL3_1|45|NRRL3_00045	288	117.000	0.000000	0.000
jgi|Aspni_NRRL3_1|46|NRRL3_00046	2415	2215.465	0.268962	17.000
jgi|Aspni_NRRL3_1|47|NRRL3_00047	456	254.344	0.413433	3.000
jgi|Aspni_NRRL3_1|48|NRRL3_00048	852	637.146	38.454232	699.000
jgi|Aspni_NRRL3_1|49|NRRL3_00049	339	156.000	13.481334	60.000
jgi|Aspni_NRRL3_1|50|NRRL3_00050	609	403.235	0.956182	11.000
jgi|Aspni_NRRL3_1|51|NRRL3_00051	4392	4240.876	3.917680	474.000
jgi|Aspni_NRRL3_1|52|NRRL3_00052	729	520.561	52.453217	779.000
jgi|Aspni_NRRL3_1|53|NRRL3_00053	2373	2184.410	0.176508	11.000
jgi|Aspni_NRRL3_1|54|NRRL3_00054	1626	1378.018	25.817687	1015.000
jgi|Aspni_NRRL3_1|55|NRRL3_00055	1521	1310.692	2.834728	106.000
jgi|Aspni_NRRL3_1|56|NRRL3_00056	3159	2984.163	0.164442	14.000
jgi|Aspni_NRRL3_1|57|NRRL3_00057	693	481.896	28.076330	386.000
jgi|Aspni_NRRL3_1|58|NRRL3_00058	939	738.795	15.846340	334.000
jgi|Aspni_NRRL3_1|59|NRRL3_00059	549	342.104	23.565475	230.000
jgi|Aspni_NRRL3_1|60|NRRL3_00060	1596	1402.304	37.318475	1493.000
jgi|Aspni_NRRL3_1|61|NRRL3_00061	3327	3148.535	0.322846	29.000
jgi|Aspni_NRRL3_1|62|NRRL3_00062	2967	2782.146	0.352764	28.000
jgi|Aspni_NRRL3_1|63|NRRL3_00063	1737	1528.757	0.733699	32.000
jgi|Aspni_NRRL3_1|64|NRRL3_00064	1914	1705.000	0.000000	0.000
jgi|Aspni_NRRL3_1|65|NRRL3_00065	1659	1460.598	0.071994	3.000
jgi|Aspni_NRRL3_1|66|NRRL3_00066	2118	1916.885	0.219428	12.000
jgi|Aspni_NRRL3_1|67|NRRL3_00067	4332	4172.860	0.209997	25.000
jgi|Aspni_NRRL3_1|68|NRRL3_00068	528	323.000	0.000000	0.000
jgi|Aspni_NRRL3_1|69|NRRL3_00069	981	787.862	0.177957	4.000
jgi|Aspni_NRRL3_1|70|NRRL3_00070	831	624.906	0.112182	2.000
jgi|Aspni_NRRL3_1|71|NRRL3_00071	1080	879.133	0.079741	2.000
jgi|Aspni_NRRL3_1|72|NRRL3_00072	1992	1806.141	1.824242	94.000
jgi|Aspni_NRRL3_1|73|NRRL3_00073	696	491.353	1.141387	16.000
jgi|Aspni_NRRL3_1|74|NRRL3_00074	711	507.467	0.621642	9.000
jgi|Aspni_NRRL3_1|75|NRRL3_00075	1602	1410.527	2.460141	99.000
jgi|Aspni_NRRL3_1|76|NRRL3_00076	1719	1522.988	37.261169	1619.000
jgi|Aspni_NRRL3_1|77|NRRL3_00077	510	290.695	0.120578	1.000
jgi|Aspni_NRRL3_1|78|NRRL3_00078	1152	955.654	0.440136	12.000
jgi|Aspni_NRRL3_1|79|NRRL3_00079	1449	1240.693	0.056503	2.000
jgi|Aspni_NRRL3_1|80|NRRL3_00080	1278	1069.000	0.000000	0.000
jgi|Aspni_NRRL3_1|81|NRRL3_00081	1611	1402.000	0.000000	0.000
jgi|Aspni_NRRL3_1|82|NRRL3_00082	891	669.660	0.366395	7.000
jgi|Aspni_NRRL3_1|83|NRRL3_00083	1392	1183.000	0.000000	0.000
jgi|Aspni_NRRL3_1|84|NRRL3_00084	1992	1794.733	2.285032	117.000
jgi|Aspni_NRRL3_1|85|NRRL3_00085	465	258.784	19.639761	145.000
jgi|Aspni_NRRL3_1|86|NRRL3_00086	996	775.899	28.731477	636.000
jgi|Aspni_NRRL3_1|87|NRRL3_00087	762	555.046	1.199861	19.000
jgi|Aspni_NRRL3_1|88|NRRL3_00088	999	798.730	0.746028	17.000
jgi|Aspni_NRRL3_1|89|NRRL3_00089	903	700.682	3.601782	72.000
jgi|Aspni_NRRL3_1|90|NRRL3_00090	1098	894.222	4.821318	123.000
jgi|Aspni_NRRL3_1|91|NRRL3_00091	1113	904.000	0.000000	0.000
jgi|Aspni_NRRL3_1|92|NRRL3_00092	966	757.000	0.000000	0.000
jgi|Aspni_NRRL3_1|93|NRRL3_00093	1923	1732.950	2.912611	144.000
jgi|Aspni_NRRL3_1|94|NRRL3_00094	858	652.223	1.182315	22.000
jgi|Aspni_NRRL3_1|95|NRRL3_00095	2208	1997.887	1.877237	107.000
jgi|Aspni_NRRL3_1|96|NRRL3_00096	261	97.000	16.260990	45.000
jgi|Aspni_NRRL3_1|97|NRRL3_00097	1917	1683.261	52.350389	2514.000
jgi|Aspni_NRRL3_1|98|NRRL3_00098	750	541.000	0.000000	0.000
jgi|Aspni_NRRL3_1|99|NRRL3_00099	1197	988.000	0.000000	0.000
jgi|Aspni_NRRL3_1|100|NRRL3_00100	1590	1381.000	0.000000	0.000
jgi|Aspni_NRRL3_1|101|NRRL3_00101	528	323.000	0.000000	0.000
jgi|Aspni_NRRL3_1|102|NRRL3_00102	7182	6973.000	0.000000	0.000
jgi|Aspni_NRRL3_1|103|NRRL3_00103	1191	982.000	0.000000	0.000
jgi|Aspni_NRRL3_1|104|NRRL3_00104	2271	2093.732	0.167411	10.000
jgi|Aspni_NRRL3_1|105|NRRL3_00105	1773	1564.000	0.000000	0.000
jgi|Aspni_NRRL3_1|106|NRRL3_00106	2223	2014.000	0.000000	0.000
jgi|Aspni_NRRL3_1|107|NRRL3_00107	1485	1276.000	0.000000	0.000
jgi|Aspni_NRRL3_1|108|NRRL3_00108	1452	1243.000	0.000000	0.000
jgi|Aspni_NRRL3_1|109|NRRL3_00109	1659	1450.000	0.000000	0.000
jgi|Aspni_NRRL3_1|110|NRRL3_00110	1536	1324.919	0.661389	25.000
jgi|Aspni_NRRL3_1|111|NRRL3_00111	1335	1126.000	0.000000	0.000
jgi|Aspni_NRRL3_1|112|NRRL3_00112	1182	982.407	0.214075	6.000
jgi|Aspni_NRRL3_1|113|NRRL3_00113	1389	1180.000	0.000000	0.000
jgi|Aspni_NRRL3_1|114|NRRL3_00114	1023	814.000	0.000000	0.000
jgi|Aspni_NRRL3_1|115|NRRL3_00115	885	679.906	0.876408	17.000
jgi|Aspni_NRRL3_1|116|NRRL3_00116	1293	1084.000	0.000000	0.000
jgi|Aspni_NRRL3_1|117|NRRL3_00117	1179	979.693	0.071556	2.000
jgi|Aspni_NRRL3_1|118|NRRL3_00118	924	713.359	0.442222	9.000
jgi|Aspni_NRRL3_1|119|NRRL3_00119	564	357.000	0.000000	0.000
jgi|Aspni_NRRL3_1|120|NRRL3_00120	525	320.000	0.000000	0.000
jgi|Aspni_NRRL3_1|121|NRRL3_00121	1197	988.000	0.000000	0.000
jgi|Aspni_NRRL3_1|122|NRRL3_00122	510	306.000	0.000000	0.000
jgi|Aspni_NRRL3_1|123|NRRL3_00123	2280	2070.219	1.151327	68.000
jgi|Aspni_NRRL3_1|124|NRRL3_00124	2016	1801.897	0.758649	39.000
jgi|Aspni_NRRL3_1|125|NRRL3_00125	1446	1246.125	9.366745	333.000
jgi|Aspni_NRRL3_1|126|NRRL3_00126	1755	1551.606	0.067771	3.000
jgi|Aspni_NRRL3_1|127|NRRL3_00127	978	769.000	0.000000	0.000
jgi|Aspni_NRRL3_1|128|NRRL3_00128	1611	1404.046	2.721143	109.000
jgi|Aspni_NRRL3_1|129|NRRL3_00129	1434	1227.378	1.456458	51.000
jgi|Aspni_NRRL3_1|130|NRRL3_00130	264	99.000	1.416221	4.000
jgi|Aspni_NRRL3_1|131|NRRL3_00131	1647	1449.951	2.465772	102.000
jgi|Aspni_NRRL3_1|132|NRRL3_00132	219	69.000	42.163359	83.000
